Performance Statistics   2021-12-24 10:28:00 - 2021-12-24 10:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
untitled140$Request.lookup.cardTreeFrame#load           65,0          65          65         0,0           1
untitled140$Request.lookup.cardTreeFrame@cardTreeDs         0,0           0           0         0,0           1
untitled140$Request.lookup.lookupWindowActions#init         0,0           0           0         0,0           1
untitled140$Request.lookup.resolutionsFrame#init        13,0          13          13         0,0           1
untitled140$Request.lookup.resolutionsFrame#inject         5,0           5           5         0,0           1
untitled140$Request.lookup.resolutionsFrame#load        99,0          99          99         0,0           1
untitled140$Request.lookup.resolutionsFrame@resolutionsDs        90,0          90          90         0,0           1
untitled140$Request.lookup@cardsDs                     193,0         193         193         0,0           1
voiceControlConsole#create                              86,0          86          86         0,0           1
voiceControlConsole#xml                                  1,0           1           1         0,0           1

Performance Statistics   2021-12-24 13:52:00 - 2021-12-24 13:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

